type,accuracy,correct_logits,wrong_logits,model,task
1-shot-standard_order-msci_simple,0.635,0.73176,0.199259,Yi-Ko-6B,Impact Type
1-shot-standard_order-standard,0.59,0.721608,0.234977,Yi-Ko-6B,Impact Type
3-shot-reverse_order-msci_simple,0.625,0.955045,0.087253,Yi-Ko-6B,Impact Type
3-shot-reverse_order-standard,0.635,0.946185,0.095232,Yi-Ko-6B,Impact Type
3-shot-standard_order-msci_simple,0.645,0.933864,0.089873,Yi-Ko-6B,Impact Type
3-shot-standard_order-standard,0.655,0.923851,0.080679,Yi-Ko-6B,Impact Type
5-shot-reverse_order-msci_simple,0.645,0.934855,0.06901,Yi-Ko-6B,Impact Type
5-shot-reverse_order-standard,0.655,0.939728,0.069702,Yi-Ko-6B,Impact Type
5-shot-standard_order-msci_simple,0.615,0.910514,0.079472,Yi-Ko-6B,Impact Type
5-shot-standard_order-standard,0.615,0.912037,0.078662,Yi-Ko-6B,Impact Type
1-shot-standard_order-msci,0.505,0.698373,0.243778,Yi-Ko-6B,Impact Duration
1-shot-standard_order-standard,0.5,0.71909,0.1772,Yi-Ko-6B,Impact Duration
3-shot-reverse_order-msci,0.47,0.680418,0.243343,Yi-Ko-6B,Impact Duration
3-shot-reverse_order-standard,0.49,0.704762,0.21329,Yi-Ko-6B,Impact Duration
3-shot-standard_order-msci,0.475,0.724632,0.240596,Yi-Ko-6B,Impact Duration
3-shot-standard_order-standard,0.515,0.721509,0.19923,Yi-Ko-6B,Impact Duration
5-shot-reverse_order-msci,0.44,0.687383,0.234614,Yi-Ko-6B,Impact Duration
5-shot-reverse_order-standard,0.47,0.711635,0.202032,Yi-Ko-6B,Impact Duration
5-shot-standard_order-msci,0.45,0.733333,0.249757,Yi-Ko-6B,Impact Duration
5-shot-standard_order-standard,0.48,0.724686,0.220455,Yi-Ko-6B,Impact Duration
1-shot-standard_order-msci_simple,0.35,0.685465,0.21494,EEVE-Korean-10.8B,Impact Type
1-shot-standard_order-standard,0.385,0.630959,0.251003,EEVE-Korean-10.8B,Impact Type
3-shot-reverse_order-msci_simple,0.525,0.654941,0.222506,EEVE-Korean-10.8B,Impact Type
3-shot-reverse_order-standard,0.54,0.701319,0.235641,EEVE-Korean-10.8B,Impact Type
3-shot-standard_order-msci_simple,0.485,0.664646,0.234454,EEVE-Korean-10.8B,Impact Type
3-shot-standard_order-standard,0.55,0.681784,0.239388,EEVE-Korean-10.8B,Impact Type
5-shot-reverse_order-msci_simple,0.51,0.704919,0.231356,EEVE-Korean-10.8B,Impact Type
5-shot-reverse_order-standard,0.555,0.675689,0.254249,EEVE-Korean-10.8B,Impact Type
5-shot-standard_order-msci_simple,0.47,0.682284,0.274292,EEVE-Korean-10.8B,Impact Type
5-shot-standard_order-standard,0.52,0.670969,0.25923,EEVE-Korean-10.8B,Impact Type
1-shot-standard_order-msci,0.48,0.659873,0.196412,EEVE-Korean-10.8B,Impact Duration
1-shot-standard_order-standard,0.48,0.692712,0.168976,EEVE-Korean-10.8B,Impact Duration
3-shot-reverse_order-msci,0.435,0.546392,0.350118,EEVE-Korean-10.8B,Impact Duration
3-shot-reverse_order-standard,0.465,0.555405,0.27346,EEVE-Korean-10.8B,Impact Duration
3-shot-standard_order-msci,0.42,0.535136,0.358756,EEVE-Korean-10.8B,Impact Duration
3-shot-standard_order-standard,0.485,0.569464,0.276004,EEVE-Korean-10.8B,Impact Duration
5-shot-reverse_order-msci,0.405,0.545175,0.352211,EEVE-Korean-10.8B,Impact Duration
5-shot-reverse_order-standard,0.48,0.477536,0.28102,EEVE-Korean-10.8B,Impact Duration
5-shot-standard_order-msci,0.38,0.55096,0.366775,EEVE-Korean-10.8B,Impact Duration
5-shot-standard_order-standard,0.455,0.483521,0.298116,EEVE-Korean-10.8B,Impact Duration
